,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
Kokomini,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kokowarra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kolla,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kolla-Atacameño,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Komi,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Konbudj,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Kong Empire,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,
Kongldom of Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Konnaack,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Konomihu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kooma,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Korea,,,,,,,,,,X,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Korea (USA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Korea (USSR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"Korea, Democratic People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X
"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X
Korubo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Koryaks,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Koyukon,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Krenak,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Krenyê,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kriol,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kryvichs,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krĩcatijê,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ktunaxa ɁamakɁis,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kuba,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Kubéwa/Cubeo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kukatj,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kukatja,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kuku-yalanji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kulina Pano,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kullilla,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kumeyaay,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kundjey’mi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kungarakany,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kunja,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kunjen,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kureinji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kuril Islands,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
Kurnai,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kurrama,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kurs,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurtjar,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kuruaya,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kurykans,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurâ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kushan Empire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kushan Principalities,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kushites,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kusso,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kuthant,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kuuku-yani,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kuuku-ya’u,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kuungkari,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kuuvuan KaNianiq,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X
Kuwarra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kuwema,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kuyam,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kuyani,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Kwakwaka'wakw,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Kwakwaka’wakw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kwanlin Dün,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kwantlen,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kwarezm,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwarizm-Shah,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Kwazá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kwikwetlem,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kwini,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Kyivan Rus,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Kō Hawaiʻi Paeʻāina (Hawaiian Kingdom),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
K’asho Got’ine,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
K’áálǫ Got’ine,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
K’ómoks,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Lagunero,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Lahore,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Lake Segozerskoye,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Vygozero,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laklanõ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lamalama,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Lambakannas,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lan Na,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,
Laos,,,,,,,,,,,,,,,,X,X,X,X,,,,,X,,,,,,,X,X,X,X,X,X
Laotian states,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
Larrakia,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Lassik,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Latje Latje,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,X,X
Laurel complex,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavo,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Leco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Leks,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Lemhi-Shoshone,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lenca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
León,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Lhaq’temish (Lummi),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lheidli T'enneh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Liao,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,X,X,X,X
Libya (IT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Lickanantay,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Lil'wat,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Limilngan,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Lingít Aaní (Tlingit),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lipan,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Lipi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lippe-Detmold,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,X,X,,,X,X,X
Lokono (Arawak),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lombard duchies,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lombard principalities,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lombardy,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Lopburi Kingdom,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Lower Chinook,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lower Tohono O’odham (Lower Pima),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lozi,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,
Luba,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,X,X,,,,,,,,,
Lucca,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Luckiamute,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Luiseno,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Luisiana,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Lule,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lumbee,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lumnanas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Lunda,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Luritja,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Luthigh,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Luva,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Lübeck,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Lənape Haki-nk (Lenni-Lenape),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
M?ori,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Macorix,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Macuxi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,X,X,X,X
Madagascar (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,
Madi Madi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Madija,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Madras,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Magadha,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magyars,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Magüta/Ticuna,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mahicacn,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Mahra,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Mahratta states,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Maiawali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Maijuna,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maiou,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Maitraka Kingdom,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makah,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Makkura,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Makurap,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maká,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Malabar,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Malacatos,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Malacca,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
Malagasy,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malak malak,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,X,X
Malay,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaya,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,
Malays,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X
Malaysian Islamic states,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,X,X,X,X,X,X,X,X,,,X,X,X,,,,,,,,,,X,X,X,X,X
Malkana,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,X,X,X
Malyangaba,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Malécu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mamluke Sultanate,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Manahoac,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Manchu Empire,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,X,X,X,,,,,,,,
Manchuria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,
Mandan,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
"Mandan, Hidatsa, and Arikara",,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mandandanji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mandatory Palestine (GB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Mandes,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandjindja,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Mangala,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Mangarayi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Manoki,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Manteño-Huancavilca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maori,,,,,,,,,,,,,X,X,X,X,X,,,X,X,X,,,X,,,,,,,,,,,
Maoris,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Mara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Maranunggu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Maratha,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Maratha Confederacy,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Maratines,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Mardu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Margany,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mari,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marinahua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Marksville Culture,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marramaninjsji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Marringarr,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Marrithiyel,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,X,X,X,,,X,X,X
Martinique (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Martuthunira,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Marubo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Masachuset,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Mashco Piro,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maskat,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Massa,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Massa-adchu-es-et (Massachusett),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Massachusetts Bay,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Massacoes,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Massawomeck,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matagalpa/Cacaopera,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mataram,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matawai,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matecumbe,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matetamãe/Cinta Larga,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matlatzinco/Tlahuica/Ocuiltec,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matlatzinco/matlatzinteca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matses (Matis),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matsigenka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Matsés (Mayoruna),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mattamuskeet,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mattaponi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mattole,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Mauri,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Maxakalí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maya,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Maya Yucateco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Maya chiefdoms and states,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya city-states,,,,,,,,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,
Maya states,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayaimi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mayangna,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mayas,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Mayi-Kulan,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mayi-Kutuna,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mayi-Thakurti,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mayi-Yapi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mazahua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mazun,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbabaram,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mbailundu,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Mbara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mbeiwum,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mbukarla,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Mbya,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mdewakanton,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Me-Wuk (Bay Miwok),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Me-Wuk (Central Sierra Miwok),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Me-Wuk (Coast Miwok),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Me-Wuk (Lake Miwok),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Me-Wuk (Northern Sierra Miwok),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Me-Wuk (Southern Sierra Miwok),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mebêngôkre (Kayapó),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mechoopda,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Schwerin,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Mecklenburg-Strelitz,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Meherrin,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mehin,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mehinako,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Menominee,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Menomini,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Mercia,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merinides,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Meroe,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Mescalero,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Mescalero Apache,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mesoamerican city-states and chiefdoms,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Mesopotamia (GB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Methow,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mexicanero (Nahuas),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Mexihcah (Triple Alliance),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Meškwahki·aša·hina (Fox),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Me̱'pha̱a̱ (Tlapaneco),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Mi'kma'ki,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,
Miami,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Miami (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Miccosukee,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Michif Piyii (Métis),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Micqanaqa’n,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Middag Kingdom,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Milan,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Milano (Austria),,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
